Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Saturated_weight_leaf,Thickness1_leaf,Thickness2_leaf,Thickness3_leaf,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LDMCleaf,LMAleaf,LDleaf,Saturated_weight_disc,Thickness1_disc,Thickness2_disc,Thickness3_disc,Leaf_area_disc,Dry_mass_disc,LTdisc,LDMCdisc,LMAdisc,LDdisc
Uvaria macrophylla,Annonaceae,L,E,single,55km,TRF,,338,1,,,,,,,,,,,,,,,,,,,,
Uvaria macrophylla,Annonaceae,L,E,single,55km,TRF,,338,2,,,,,,,,,,,,,,,,,,,,
Uvaria macrophylla,Annonaceae,L,E,single,55km,TRF,,338,3,,,,,,,,,,,,,,,,,,,,
Uvaria macrophylla,Annonaceae,L,E,single,55km,TRF,,338,4,,,,,,,,,,,,,,,,,,,,
Uvaria macrophylla,Annonaceae,L,E,single,55km,TRF,,338,5,,,,,,,,,,,,,,,,,,,,
Uvaria macrophylla,Annonaceae,L,E,single,55km,TRF,,338,6,,,,,,,,,,,,,,,,,,,,
Celastrus virens,Celastraceae,L,E,single,55km,TRF,,339,1,,,,,,,,,,,,,,,,,,,,
Celastrus virens,Celastraceae,L,E,single,55km,TRF,,339,2,,,,,,,,,,,,,,,,,,,,
Celastrus virens,Celastraceae,L,E,single,55km,TRF,,339,3,,,,,,,,,,,,,,,,,,,,
Celastrus virens,Celastraceae,L,E,single,55km,TRF,,339,4,,,,,,,,,,,,,,,,,,,,
Celastrus virens,Celastraceae,L,E,single,55km,TRF,,339,5,,,,,,,,,,,,,,,,,,,,
Celastrus virens,Celastraceae,L,E,single,55km,TRF,,339,6,,,,,,,,,,,,,,,,,,,,
Celastrus virens,Celastraceae,L,E,single,55km,TRF,,339,7,,,,,,,,,,,,,,,,,,,,
Celastrus virens,Celastraceae,L,E,single,55km,TRF,,339,8,,,,,,,,,,,,,,,,,,,,
Dalbergia mimosoides,Leguminosae,S,E,compound,55km,TRF,,340,1,,,,,,,,,,,,,,,,,,,,
Dalbergia mimosoides,Leguminosae,S,E,compound,55km,TRF,,340,2,,,,,,,,,,,,,,,,,,,,
Dalbergia mimosoides,Leguminosae,S,E,compound,55km,TRF,,340,3,,,,,,,,,,,,,,,,,,,,
Dalbergia mimosoides,Leguminosae,S,E,compound,55km,TRF,,340,4,,,,,,,,,,,,,,,,,,,,
Dalbergia mimosoides,Leguminosae,S,E,compound,55km,TRF,,340,5,,,,,,,,,,,,,,,,,,,,
Dalbergia mimosoides,Leguminosae,S,E,compound,55km,TRF,,340,6,,,,,,,,,,,,,,,,,,,,
Dalbergia mimosoides,Leguminosae,S,E,compound,55km,TRF,,340,7,,,,,,,,,,,,,,,,,,,,
Dalbergia mimosoides,Leguminosae,S,E,compound,55km,TRF,,340,8,,,,,,,,,,,,,,,,,,,,
Castanopsis wattii,Fagaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,151,1,,,,,,,,,,,,,,,,,,,,
Castanopsis wattii,Fagaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,151,2,,,,,,,,,,,,,,,,,,,,
Castanopsis wattii,Fagaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,151,3,,,,,,,,,,,,,,,,,,,,
