Species,Location,LA,Data.contributor,Family,Growth form,Leaf habit,Biomes,Garden,MAT,MAP,LT,LTdisc,LMAdisc,LDMCdisc,LDdisc,LMAleaf,LDMCleaf,LDleaf
Castanopsis wattii,Ailao_canopy,21.136333333333333,Li Peifu,Fagaceae,Trees,E,STF,NO,11.7,1728,0.258583333,NA,146.8152866,0.500481618,0.567767786,119.0193586,0.460778057,0.460274671
Magnolia floribunda,Ailao_canopy,36.74783333333333,Li Peifu,Magnoliaceae,Trees,E,STF,NO,11.7,1728,0.255611111,NA,146.4968153,0.454145065,0.573123816,142.9056934,0.418049091,0.559074654
Symplocos ramosissima,Ailao_canopy,36.804,Li Peifu,Symplocaceae,Trees,E,STF,NO,11.7,1728,0.213444445,NA,117.9759377,0.438225987,0.552724329,109.2527049,0.384731885,0.511855461
Elaeocarpus japonicus,Ailao_canopy,24.064833333333333,Li Peifu,Elaeocarpaceae,Trees,E,STF,NO,11.7,1728,0.260611111,NA,155.3432413,0.46826714,0.596072979,148.281137,0.43021836,0.568974732
Lithocarpus xylocarpus,Ailao_canopy,30.537333333333333,Li Peifu,Fagaceae,Trees,E,STF,NO,11.7,1728,0.271944445,NA,185.9872612,0.543173156,0.683916383,143.0237063,0.482037483,0.525929869
Schima noronhae,Ailao_canopy,45.2485,Li Peifu,Theaceae,Trees,E,STF,NO,11.7,1728,0.253,NA,153.6447275,0.426664218,0.607291413,139.2928714,0.437019035,0.550564709
Machilus yunnanensis,Ailao_canopy,24.787166666666668,Li Peifu,Lauraceae,Trees,E,STF,NO,11.7,1728,0.2315,NA,153.0785563,0.550250143,0.661246463,154.1236117,0.498827995,0.665760742
Manglietia insignis,Ailao_canopy,53.03966666666667,Li Peifu,Magnoliaceae,Trees,E,STF,NO,11.7,1728,0.326388889,NA,137.3673036,0.390162734,0.420870036,135.8599256,0.342590963,0.416251687
Hartia sinensis,Ailao_canopy,15.352333333333332,Li Peifu,Theaceae,Trees,E,STF,NO,11.7,1728,0.370722222,NA,206.227884,0.47551896,0.556286815,227.8454124,0.405051638,0.614598745
Cyclobalanopsis stewardiana,Ailao_canopy,25.020833333333332,Li Peifu,Fagaceae,Trees,E,STF,NO,11.7,1728,0.2165,NA,162.7034678,0.568044653,0.751517172,145.2541511,0.508645616,0.670919867
Illicium burmanicum,Ailao_understory,46.10016666666667,Li Peifu,Schisandraceae,Trees,E,STF,NO,11.7,1728,0.182166667,NA,72.96532201,0.352253591,0.400541566,106.2960971,0.301799274,0.583510139
Clethra delavayi,Ailao_understory,42.9515,Li Peifu,Clethraceae,Trees,D,STF,NO,11.7,1728,0.190888889,NA,61.64,0.31,0.322910361,124.1771848,0.328406214,0.650520758
