no,Species,APG.family,Growthform,EveDec,LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LD LMA,TD
,,,,,,,,,,,,
2,Mallotus_japonicus,Euphorbiaceae,W,D,84.86766667,2.1117,1.8121,0.2996,0.272,82.94089229,64.29859701,0.236391901
,,,,,,,,,,,,
4,Styrax_ japonica,Styracaceae,W,D,15.33175,1.0225,0.989,0.0335,0.2515,83.36458656,76.39437268,0.303754961
,,,,,,,,,,,,
6,Styrax_ japonica,Styracaceae,W,D,14.58325,1.1191,1.0655,0.0536,0.2755,95.92340528,94.85634608,0.344306156
,,,,,,,,,,,,
7,Distylium_racemosum,Hamamelidaceae,W,E,4.0832,1.1953,1.1413,0.054,0.469,195.1573929,182.0732549,0.388215895
,,,,,,,,,,,,
8,Trochodendron_aralioides,Trochodendraceae,W,E,7.422555556,0.8528,0.7793,0.0735,0.296,127.6589375,128.597194,0.43444998
,,,,,,,,,,,,
12,Quercus_salicina,Fagaceae,W,E,18.5985,1.5727,1.4872,0.0855,0.3745,140.9343047,115.8647986,0.30938531
,,,,,,,,,,,,
13,Symplocos_prunifolia,Symplocaceae,W,E,8.112,1.1307,1.0742,0.0565,0.3605,139.3860947,119.6845172,0.331995887
,,,,,,,,,,,,
14,Clethra_barbinervis,Clethraceae,W,D,23.7575,1.3534,1.283,0.0704,0.3315,94.94545582,85.94366927,0.259256921
,,,,,,,,,,,,
15,Acer_morifolium,Sapindaceae,W,D,51.63925,2.1599,1.9773,0.1826,0.2255,104.5667782,88.49014836,0.392417509
,,,,,,,,,,,,
16,Lithocarpus_edulis,Fagaceae,W,E,9.634555556,1.4569,1.3542,0.1027,0.441,168.0178985,138.7831104,0.314700931
,,,,,,,,,,,,
17,Myrica_rubra,Primulaceae,W,E,5.634266667,0.9031,0.8573,0.0458,0.3975,106.8580354,171.8873385,0.432420977
,,,,,,,,,,,,
18,Distylium_racemosum,Hamamelidaceae,W,E,3.972833333,1.1689,1.12,0.0489,0.5505,245.1860553,215.1774831,0.390876445
,,,,,,,,,,,,
21,Zanthoxylum_ailanthoides,Rutaceae,W,D,31.93566667,1.6916,1.6642,,0.2575,88.28164957,99.31268449,0.385680328
,,,,,,,,,,,,
22,Stewartia_monadelpha,Theaceae,W,D,9.8623,1.1995,1.1421,0.0574,0.3985,121.6247731,140.0563499,0.351458845
,,,,,,,,,,,,
23,Pinus_amamiana,Pinaceae,W,E,1.14556,0.2381,0.2381,,0.92,83.13837774,,
,,,,,,,,,,,,
24,Pinus_amamiana,Pinaceae,W,E,1.02008,0.1727,0.1727,0,0.7835,67.72017881,,
,,,,,,,,,,,,
25,Pinus_amamiana,Pinaceae,W,E,0.54364,0.2911,0.2911,,0.897,178.4882152,,
,,,,,,,,,,,,
27,Vaccinium_bracteatum,Ericaceae,W,E,8.1808,1.1062,1.0721,0.0341,0.377,135.2190495,130.5070533,0.346172555
,,,,,,,,,,,,
28,Pittosporum_tobira,Pittosporaceae,W,E,14.74175,1.7206,1.601,0.1196,0.3735,145.8951617,117.1380381,0.313622592
,,,,,,,,,,,,
29,Melia_azedarach,Meliaceae,W,D,5.103944444,0.7285,0.7161,0.0124,0.1995,79.29596935,81.48733086,0.408457799
,,,,,,,,,,,,
30,Pinus_thunbergii,Pinaceae,W,E,1.4613125,0.624,0.624,0,0.945,533.7667337,,
,,,,,,,,,,,,
31,Zanthoxylum_ailanthoides,Rutaceae,W,D,63.38933333,1.9105,1.8951,,0.2855,100.4638004,100.585924,0.35231497
,,,,,,,,,,,,
32,Cinnamomum_camphora,Lauraceae,W,E,25.0005,1.7489,1.6341,0.1148,0.255,116.5910015,117.7746579,0.461861403
,,,,,,,,,,,,
33,Glochidion_obovatum,Euphorbiaceae,W,D,8.027666667,1.1059,1.0709,0.035,0.239,114.8008969,105.0422624,0.439507374
,,,,,,,,,,,,
34,Neolitsea_sericea,Lauraceae,W,E,18.122,2.2491,2.0926,0.1565,0.257,155.1360225,134.9633917,0.525149384
,,,,,,,,,,,,
