Species,Location,LA,Data.contributor,Family,Growth form,Leaf habit,Biomes,LT,LTdisc,LMAdisc,LDdisc,LMAleaf,LDleaf
Macaranga denticulata,Mengla_bubeng,108.7825,Li Peifu,Euphorbiaceae,Trees,D,TRF,0.292888889,NA,73.17763624,0.249847772,76.01623807,0.259539508
Lindera metcalfiana,Mengla_bubeng,24.026,Li Peifu,Lauraceae,Trees,E,TRF,0.173944444,NA,73.95612173,0.425170934,72.01854713,0.414031891
Gnetum montanum,Mengla_bubeng,30.66516667,Li Peifu,Gnetaceae,Lias,E,TRF,0.358055556,NA,126.7515924,0.353999792,115.4296268,0.322379097
Ostodes paniculata,Mengla_bubeng,53.5225,Li Peifu,Euphorbiaceae,Trees,E,TRF,0.216833333,NA,80.39631989,0.370774727,93.39198989,0.43070864
Alnus cremastogyne,Mengla_bubeng,39.3785,Li Peifu,Betulaceae,Trees,E,TRF,0.227555556,NA,111.1818825,0.488592256,116.0813109,0.510122947
Garcinia cowa,Mengla_bubeng,32.31216667,Li Peifu,Clusiaceae,Trees,E,TRF,0.287222222,NA,100.9907997,0.351612069,115.0623494,0.400603925
Ilex godajam,Mengla_bubeng,26.50966667,Li Peifu,Aquifoliaceae,Trees,E,TRF,0.298222222,NA,111.3941967,0.373527485,115.2877008,0.3865832
Harpullia cupanioides,Mengla_bubeng,82.2725,Li Peifu,Sapindaceae,Trees,E,TRF,0.176333333,NA,61.21726822,0.347167873,95.0000105,0.538752424
Celtis timorensis,Mengla_bubeng,59.51983333,Li Peifu,Canbaceae,Trees,E,TRF,0.243944444,NA,105.0955414,0.430817524,103.0361741,0.422375572
Duabanga grandiflora,Mengla_bubeng,89.4245,Li Peifu,Lythraceae,Trees,E,TRF,0.329944445,NA,133.7579618,0.405395405,131.3691035,0.398155221
Pterospermum menglunense,Mengla_bubeng,15.5815,Li Peifu,Malvaceae,Trees,D,TRF,0.289111111,NA,103.8924275,0.35935121,132.0047421,0.45658827
Drypetes hoaensis,Mengla_bubeng,19.8996,Li Peifu,Putranjivaceae,Trees,E,TRF,0.200333333,NA,76.43312102,0.381529723,120.5037776,0.601516362
Strychnos cathayensis,Mengla_bubeng,43.214,Li Peifu,Loganiaceae,Lias,E,TRF,0.165555556,NA,78.62703468,0.474928396,114.738254,0.693049855
Castanopsis indica,Mengla_bubeng,76.7174,Li Peifu,Fagaceae,Trees,E,TRF,0.288666667,NA,146.5675867,0.507739907,97.51233242,0.337802537
Litchi chinensis,Mengla_bubeng,38.38533333,Li Peifu,Sapindaceae,Trees,E,TRF,0.210333334,NA,129.9363057,0.617763734,136.5884015,0.649390179
Barringtonia macrostachya,Mengla_bubeng,57.217,Li Peifu,Lecythidaceae,Trees,E,TRF,0.234944445,NA,72.18683652,0.307250663,81.13474994,0.345335894
Dalbergia rimosa,Mengla_bubeng,29.2845,Li Peifu,Leguminosae,Lias,E,TRF,0.199611111,NA,80.67940552,0.404182939,121.2252135,0.607306942
Uncaria macrophylla,Mengla_bubeng,55.07133333,Li Peifu,Rubiaceae,Lias,D,TRF,0.312222222,NA,126.0438783,0.403699255,102.5197268,0.328354997
