Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LMAleaf,LDleaf,Leaf_area_disc,Dry_mass_disc,LTdisc,LMAdisc,LDdisc
Lithocarpus pachyphyllus,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,103,1,76.511,0.948,0.255333333,123.9037524,0.485262738,0.889,0.0108,0.341,121.4848144,0.356260453
Lithocarpus pachyphyllus,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,103,2,60.991,0.8624,0.298333333,141.3979112,0.473959479,0.889,0.0098,0.341333333,110.2362205,0.322957677
Lithocarpus pachyphyllus,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,103,3,60.279,0.8129,0.297666667,134.8562518,0.453044519,0.889,0.0108,0.35,121.4848144,0.34709947
Lithocarpus pachyphyllus,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,103,4,59.994,0.8894,0.308666667,148.2481581,0.48028561,0.889,0.0117,0.352333333,131.6085489,0.373534198
Lithocarpus pachyphyllus,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,103,5,64.343,0.9248,0.305333333,143.7296986,0.470730454,0.889,0.0116,0.339666667,130.4836895,0.384152177
Lithocarpus pachyphyllus,Fagaceae,T,E,single,Ailao_underground,STF,Chen Yajun,103,6,81.58,1.1265,0.299666667,138.085315,0.460796379,0.889,0.0121,0.346,136.1079865,0.393375684
Ternstroemia gymnanthera,Pentaphylacaceae,T,E,single,Ailao_underground,STF,Chen Yajun,104,1,22.385,0.3713,0.485666667,165.8700022,0.341530547,0.889,0.0129,0.503333333,145.1068616,0.288291778
Ternstroemia gymnanthera,Pentaphylacaceae,T,E,single,Ailao_underground,STF,Chen Yajun,104,2,21.905,0.3134,0.489,143.0723579,0.292581509,0.889,0.0123,0.518,138.3577053,0.267099817
Ternstroemia gymnanthera,Pentaphylacaceae,T,E,single,Ailao_underground,STF,Chen Yajun,104,3,24.751,0.4045,0.499333333,163.4277403,0.32729187,0.889,0.0113,0.443666667,127.1091114,0.28649687
Ternstroemia gymnanthera,Pentaphylacaceae,T,E,single,Ailao_underground,STF,Chen Yajun,104,4,21.318,0.3163,0.491333333,148.3722676,0.301978835,0.889,0.0079,0.446,88.86389201,0.199246395
Ternstroemia gymnanthera,Pentaphylacaceae,T,E,single,Ailao_underground,STF,Chen Yajun,104,5,20.357,0.3695,0.560666667,181.5100457,0.323739677,0.889,0.0086,0.471,96.73790776,0.205388339
Ternstroemia gymnanthera,Pentaphylacaceae,T,E,single,Ailao_underground,STF,Chen Yajun,104,6,23.045,0.3183,0.486333333,138.1210675,0.284004937,0.889,0.0125,0.508333333,140.6074241,0.276604769
Lyonia ovalifolia,Ericaceae,T,D,single,Ailao_underground,STF,Chen Yajun,105,1,57.554,0.4058,0.237,70.50769712,0.297500832,0.889,0.0034,0.176666667,38.24521935,0.216482374
Lyonia ovalifolia,Ericaceae,T,D,single,Ailao_underground,STF,Chen Yajun,105,2,39.809,0.2603,0.215,65.38722399,0.304126623,0.889,0.0057,0.203333333,64.11698538,0.315329436
Lyonia ovalifolia,Ericaceae,T,D,single,Ailao_underground,STF,Chen Yajun,105,3,39.227,0.3152,0.226333333,80.35281821,0.355019815,0.889,0.0041,0.202666667,46.1192351,0.227562015
Lyonia ovalifolia,Ericaceae,T,D,single,Ailao_underground,STF,Chen Yajun,105,4,39.632,0.3566,0.227333333,89.97779572,0.395796755,0.889,0.0041,0.211,46.1192351,0.218574574
Lyonia ovalifolia,Ericaceae,T,D,single,Ailao_underground,STF,Chen Yajun,105,5,45.663,0.4478,0.245333333,98.06626809,0.399726636,0.889,0.0067,0.261333333,75.3655793,0.288388696
Lyonia ovalifolia,Ericaceae,T,D,single,Ailao_underground,STF,Chen Yajun,105,6,70.391,0.6532,0.206,92.79595403,0.450465796,0.889,0.0089,0.267333333,100.1124859,0.374485608
Litsea cubeba,Lauraceae,T,D,single,Ailao_underground,STF,Chen Yajun,106,1,25.133,0.1482,0.198333333,58.96629929,0.297309072,0.889,0.0056,0.193333333,62.99212598,0.325821341
Litsea cubeba,Lauraceae,T,D,single,Ailao_underground,STF,Chen Yajun,106,2,30.477,0.2007,0.217666667,65.85293828,0.302540298,0.889,0.0044,0.198333333,49.49381327,0.249548638
Litsea cubeba,Lauraceae,T,D,single,Ailao_underground,STF,Chen Yajun,106,3,24.373,0.1304,0.189,53.50182579,0.283078443,0.889,0.0047,0.184,52.86839145,0.287328214
Litsea cubeba,Lauraceae,T,D,single,Ailao_underground,STF,Chen Yajun,106,4,25.29,0.1537,0.202666667,60.77500989,0.299876694,0.889,0.0049,0.205,55.11811024,0.26886883
Litsea cubeba,Lauraceae,T,D,single,Ailao_underground,STF,Chen Yajun,106,5,22.407,0.1388,0.201,61.94492792,0.308183721,0.889,0.0062,0.209666667,69.74128234,0.332629328
Litsea cubeba,Lauraceae,T,D,single,Ailao_underground,STF,Chen Yajun,106,6,28.728,0.2245,0.212,78.14675578,0.368616773,0.889,0.0064,0.219,71.99100112,0.328726033
Viburnum cylindricum,Adoxaceae,T,E,single,Ailao_underground,STF,Chen Yajun,107,1,57.952,0.7194,0.377666667,124.137217,0.328695191,0.889,0.0086,0.293333333,96.73790776,0.329788322
Viburnum cylindricum,Adoxaceae,T,E,single,Ailao_underground,STF,Chen Yajun,107,2,50.946,0.6274,0.364333333,123.150002,0.338014644,0.889,0.0064,0.296666667,71.99100112,0.242666296
Viburnum cylindricum,Adoxaceae,T,E,single,Ailao_underground,STF,Chen Yajun,107,3,53.584,0.5994,0.322,111.8617498,0.347396738,0.889,0.0075,0.305666667,84.36445444,0.276001487
Viburnum cylindricum,Adoxaceae,T,E,single,Ailao_underground,STF,Chen Yajun,107,4,61.335,0.7038,0.339,114.7468819,0.338486377,0.889,0.0076,0.316,85.48931384,0.270535803
Viburnum cylindricum,Adoxaceae,T,E,single,Ailao_underground,STF,Chen Yajun,107,5,63.965,0.7484,0.357666667,117.0014852,0.327124376,0.889,0.008,0.380333333,89.98875141,0.236604955
Viburnum cylindricum,Adoxaceae,T,E,single,Ailao_underground,STF,Chen Yajun,107,6,55.482,0.686,0.363,123.6437043,0.340616265,0.889,0.0085,0.348666667,95.61304837,0.274224804
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,1,32.937,0.2754,0.289333333,83.61417251,0.288989075,0.889,0.0055,0.183333333,61.86726659,0.337457818
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,2,28.279,0.2455,0.288333333,86.81353655,0.30108741,0.889,0.0054,0.196666667,60.7424072,0.308859698
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,3,53.877,0.3944,0.173333333,73.20377898,0.422329494,0.889,0.0058,0.158,65.24184477,0.412923068
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,4,43.607,0.2992,0.156666667,68.61283739,0.437954281,0.889,0.0053,0.147333333,59.61754781,0.40464399
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,5,35.058,0.3464,0.204333333,98.80769011,0.483561289,0.889,0.0077,0.197666667,86.61417323,0.438183001
Styrax perkinsiae,Styracaceae,T,D,single,Ailao_underground,STF,Chen Yajun,108,6,28.229,0.256,0.19,90.68688228,0.47729938,0.889,0.0059,0.179666667,66.36670416,0.369387964
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,109,1,23.31,0.1603,0.204333333,68.76876877,0.336551886,0.889,0.0067,0.218,75.3655793,0.345713667
Symplocos ramosissima,Symplocaceae,T,E,single,Ailao_underground,STF,Chen Yajun,109,2,24.738,0.1853,0.197,74.90500445,0.380228449,0.889,0.0086,0.247333333,96.73790776,0.391123616
