Species,Family,Growthform,EveDec,LeafType,Location,Garden,MAT,MAP,Biomes,Contributor,LMAdisc,LMAleaf,LDdisc,LDleaf,LDMCdisc,LDMCleaf,LTleaf,LTdisc,LAleaf
Lithocarpus pachyphyllus,Fagaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,132.76612828337264,138.37018118333333,0.36289660983333333,0.47067986316666666,0.458196429,0.44411052233333337,0.2941666666666667,0.3450555555,67.283
Ternstroemia gymnanthera,Pentaphylacaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,130.18235633860652,156.72891353333333,0.25385466133333334,0.3118545625,0.37925843233333334,0.37505127466666666,0.5020555555,0.4817222221666667,22.2935
Lyonia ovalifolia,Ericaceae,T,D,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,65.38930569513954,82.84795952666667,0.2734704505,0.3671060761666667,0.36201866050000003,0.4093257895,0.2261666665,0.22038888883333332,48.712666666666664
Litsea cubeba,Lauraceae,T,D,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,63.998043874921386,63.197959491666666,0.2988203973333333,0.30993416683333336,0.3670618491666667,0.30587178816666666,0.2034444445,0.20155555549999998,26.068
Viburnum cylindricum,Adoxaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,92.61828710083728,119.09017336666668,0.2716369445,0.33672226516666665,0.3344615086666667,0.34182133583333335,0.3539444445,0.3234444445,57.21066666666667
Styrax perkinsiae,Styracaceae,T,D,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,70.75560130507861,83.62314963666667,0.37857592316666666,0.4018701548333333,0.43030011716666666,0.42298829683333333,0.21699999983333335,0.17711111116666667,36.99783333333333
Symplocos ramosissima,Symplocaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,94.00954891928852,81.208611685,0.3641295495,0.36695117883333334,0.3965280255,0.36070205916666664,0.22116666666666668,0.24388888883333332,23.918666666666667
Rubus paniculatus,Rosaceae,L,D,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,78.90442055368712,85.212897555,0.24751507383333332,0.272704464,0.5077430125,0.409961413,0.31216666633333334,0.30072222233333334,55.034166666666664
Rhododendron leptothrium,Ericaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,85.86072967421384,88.05410261166666,0.3951715038333333,0.4267550196666667,0.46116035916666664,0.40520820783333333,0.20616666666666666,0.20433333333333334,8.575999999999999
Camellia forrestii,Theaceae,T,E,S,Ailao_understory,NO,NA,NA,STF,Chen Yajun,123.62355057938287,129.36884351666666,0.3758778568333333,0.40702795766666666,0.4304543455,0.4449155955,0.3178333331666667,0.31022222233333335,9.991166666666667
