species,family,growth_form,leaf_habit,leaf_type,location,biomes,data_contributor,lma_disc,lma_leaf,ld_disc,ld_leaf,lt_leaf,lt_disc,la_leaf,garden,n
Lithocarpus pachyphyllus,Fagaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.016282240928067113,0.01320341379483978,-0.07454470481310409,-0.03546869249964224,-0.059349482210676555,-0.0148492967231984,0.033288260771830266,NO,NA
Ternstroemia gymnanthera,Pentaphylacaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.04515641155073864,0.02137099422510862,-0.12734689800589388,-0.0640895430299407,-0.08388030712019956,-0.09692821295508589,0.02257081117273471,NO,NA
Lyonia ovalifolia,Ericaceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.091293459011713,0.03816840814049074,-0.17848220431627113,-0.1680763481623298,-0.04437132530256996,-0.11003224499099898,0.06536495318963277,NO,NA
Litsea cubeba,Lauraceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.03862344276118766,0.032016662146974614,-0.10353304824680057,-0.0808209764521219,-0.032666362818851546,-0.04006024963822623,0.03601462989320195,NO,NA
Viburnum cylindricum,Adoxaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.02488782689804685,0.009681420884833654,-0.09372673620485618,-0.021674815101662432,-0.057666590967130824,-0.09409059797683851,0.021884140443077033,NO,NA
Styrax perkinsiae,Styracaceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.03384621460837683,0.032028170440461474,-0.14103333303516807,-0.2537636317734655,-0.17285362642828567,-0.07148868263592088,0.07410348261429307,NO,NA
Symplocos ramosissima,Symplocaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.03969619959681418,0.03310619140820138,-0.13818161230587422,-0.05155972592623471,-0.08541290459900097,-0.09203066156106603,0.011976179470464074,NO,NA
Rubus paniculatus,Rosaceae,L,D,S,Ailao_understory,STF,Chen Yajun,0.030738086183873223,0.035656756412434466,-0.06866679485058008,-0.07589623995030574,-0.09101386911319771,-0.07929927374075108,0.0451759892916353,NO,NA
Rhododendron leptothrium,Ericaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.03859193463253759,0.02929758238205023,-0.10354472345999165,-0.04328767804518707,-0.07431746524433408,-0.07344783890859063,0.04371099267476431,NO,NA
Camellia forrestii,Theaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.012148977431082812,0.007624576544748948,-0.048311717462053684,-0.026040488501478047,-0.024523071383685646,-0.027896133144381868,0.0679040353183311,NO,NA
Illicium burmanicum,Schisandraceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.018530719438395665,0.047402886930634276,-0.05759306078612804,-0.10528608764016922,-0.09866441194008445,-0.01398735149344677,0.0470852045533656,NO,NA
Machilus gamblei,Lauraceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.040332549392863036,0.022801742868262465,-0.11756888189612301,-0.017821346701444113,-0.0758055008821211,-0.03344041913618035,0.07386000962541082,NO,NA
Rhododendron delavayi,Ericaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.035695532560726766,0.027656244363309566,-0.10540840775444414,-0.07304936904219463,-0.09357998591648528,-0.12848106153700226,0.03365479490943474,NO,NA
Vaccinium duclouxii,Ericaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.05998741034389495,0.03782145563763511,-0.15199549200780238,-0.1687609591047887,-0.06090221843153809,-0.21450593339719576,0.07692673520060352,NO,NA
Lithocarpus hancei,Fagaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.034818493788988485,0.016653710623813003,-0.08552747419415109,-0.024560777519928665,-0.06485598404426357,-0.06424980406512044,0.1140567594955679,NO,NA
Ilex polyneura,Aquifoliaceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.03345223439070375,0.019712656926266416,-0.13370017110582172,-0.07654555541525422,-0.06542765982668937,-0.041786390934811075,0.042653046616426986,NO,NA
Betula alnoides,Betulaceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.051980867514894065,0.03806118862635678,-0.1518189644487057,-0.08429690302020114,-0.04023401753647255,-0.10959968666792945,0.04804145488284694,NO,NA
Rosa longicuspis,Rosaceae,L,E,C,Ailao_understory,STF,Chen Yajun,0.030161045683159547,0.061122297143392776,-0.11710619833206075,-0.11562895128096554,-0.11817871908174807,-0.05916305704974565,0.07756204723074624,NO,NA
Symplocos sumuntia,Symplocaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.048661059292926204,0.014071167552096496,-0.06819437602811437,-0.049134967643159215,-0.04655258618618401,-0.1462799809833509,0.06167389882969532,NO,NA
Ilex szechwanensis,Aquifoliaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.02654904633032258,0.013419261295013422,-0.07805968702345727,-0.04910279392095311,-0.035709014269336405,-0.041012563857127905,0.01866315138440683,NO,NA
Symplocos poilanei,Symplocaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.05179507515272517,0.02505355815570941,-0.07014382326323845,-0.038253105038100976,-0.0901978248643017,-0.13674114958201583,0.03141475686556938,NO,NA
Laurocerasus undulata,Rosaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.06590408911855707,0.03465300999731674,-0.17914946421916725,-0.13084479875171343,-0.0648802497216634,-0.07320508165739963,0.03609212063807776,NO,NA
Cyclobalanopsis stewardiana,Fagaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.03208834389070026,0.02398435762808098,-0.11224214653441679,-0.16615224800688688,-0.1061573145115549,-0.10432780203441258,0.020752368037682864,NO,NA
Tetracentron sinense,Trochodendraceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.061693857466680296,0.05579898260638257,-0.12702540929206044,-0.16025056683040084,-0.03323619396292267,-0.1946423381625001,0.06373016611576855,NO,NA
Actinidia callosa,Actinidiaceae,L,D,S,Ailao_understory,STF,Chen Yajun,0.032750588071603706,0.035390196808857785,-0.2018436632291295,-0.15148797409138645,-0.12884436906274205,-0.21402356523977664,0.046453515694719685,NO,NA
Sorbus globosa,Rosaceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.07532719505877698,0.0329470254595439,-0.18208845660263256,-0.08085840845340421,-0.05084238696718482,-0.07875189255664145,0.0358315920551606,NO,NA
Ilex corallina,Aquifoliaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.01663565851912686,0.011279330740598824,-0.030366530287346944,-0.04186743130644079,-0.02880570314802256,-0.044588596532579815,0.08628922963322684,NO,NA
Rubus wallichianus,Rosaceae,L,E,C,Ailao_understory,STF,Chen Yajun,0.0800858442770808,0.05718915112582404,-0.14520082497618597,-0.05757797062038103,-0.13689726066988103,-0.09678170764383714,0.03591485684383702,NO,NA
Ilex gintungensis,Aquifoliaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.04583320981181178,0.04312654137250091,-0.1487285432521898,-0.1374843448793047,-0.09489721500585994,-0.11066105116313145,0.1227389004468053,NO,NA
Neolitsea chui,Lauraceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.05679571646500999,0.012257493521918626,-0.15640582376911086,-0.0556404776977371,-0.019614275514883206,-0.060431687393101244,0.024663798310771177,NO,NA
Rhododendron decorum,Ericaceae,S,E,S,Ailao_understory,STF,Chen Yajun,0.058330136818164485,0.022737247669117285,-0.1648530918609657,-0.12208566852144749,-0.04638650060569853,-0.047135322542566145,0.01943814553990842,NO,NA
Manglietia insignis,Magnoliaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.04057873296908949,0.0234223899230431,-0.037045590158894,-0.034506524030439356,-0.06903455329425551,-0.16372026602939507,0.03991309040619803,NO,NA
Eurya obliquifolia,Pentaphylacaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.03118799500012578,0.019544400497511376,-0.10269708703832918,-0.0754466319433909,-0.04283202095311101,-0.044649039202590085,0.04157322534338317,NO,NA
Lithocarpus xylocarpus,Fagaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.0226908416835268,0.032001993893027,-0.05414658591019804,-0.13675760993679772,-0.14911298880605683,-0.06933258630518917,0.11006623140672664,NO,NA
Litsea elongata,Lauraceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.030996463880156522,0.022326861399724025,-0.09258632837572534,-0.08060603629543109,-0.0262705211601339,-0.0427719770965385,0.0774523260461942,NO,NA
Hartia sinensis,Theaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.03195674946712639,0.029409394224372297,-0.10695248535134935,-0.12776265859054528,-0.04639370421693564,-0.02771571890773325,0.049775521844241985,NO,NA
Acer campbellii,Sapindaceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.04981988664804244,0.023364284028927547,-0.18265627945053287,-0.1923293714336819,-0.050701023439016,-0.06943515400699432,0.07061264918118951,NO,NA
Clethra delavayi,Clethraceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.010645857507586634,0.03170762276352386,-0.07755245536970601,-0.12237136791443043,-0.022982576108794565,-0.07163800011915171,0.07386479277138633,NO,NA
Eriobotrya bengalensis,Rosaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.0575166978307843,0.014916315422579532,-0.142204349434415,-0.042267586904547676,-0.05395480959960437,-0.13548192859752559,0.055056868241468535,NO,NA
Machilus salicina,Lauraceae,S,E,S,Ailao_understory,STF,Chen Yajun,0.024870940565547808,0.02013366522269516,-0.16072015270354917,-0.08277138501988847,-0.05101257705995739,-0.04728404936350411,0.02809811993897675,NO,NA
Neolitsea polycarpa,Lauraceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.02957560496475016,0.009508210016285676,-0.1461443042023592,-0.05884130348756648,-0.03906670633340454,-0.07104845951750885,0.03786541766451581,NO,NA
Meliosma kirkii,Sabiaceae,T,D,C,Ailao_understory,STF,Chen Yajun,0.021992169331640558,0.013665211636390498,-0.04919567622360623,-0.04016267841500287,-0.021934927301021416,-0.03432667347810347,0.025439517419512003,NO,NA
Symplocos anomala,Symplocaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.0852363047486764,0.019392627849672314,-0.10809456875578319,-0.10656520614240945,-0.09185377964711253,-0.08254589318496412,0.06167389882969532,NO,NA
Machilus yunnanensis,Lauraceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.07460353077422627,0.04976872404130235,-0.2339760345971912,-0.2345065274718086,-0.08484390345196594,-0.13435057024142502,0.09637380402371716,NO,NA
Castanopsis wattii,Fagaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.02131448548699052,0.032677719638395504,-0.0546063405156062,-0.13004713180758257,-0.06166133738420605,-0.05767042505569412,0.05910238534205834,NO,NA
Cerasus cerasoides,Rosaceae,T,D,S,Ailao_understory,STF,Chen Yajun,0.07761299428078318,0.05030869339503912,-0.09132947356831468,-0.06191270727863194,-0.0772965634781807,-0.0764694839365672,0.029775114439815703,NO,NA
Schima noronhae,Theaceae,T,E,S,Ailao_understory,STF,Chen Yajun,0.027681241838083247,0.03529227638708145,-0.05222002877233736,-0.15930512464133129,-0.03242596174758641,-0.06958184802965603,0.08803128335524658,NO,NA
Semecarpus reticulatus,Anacardiaceae,T,E,S,Mengla_Bubeng,TRF,Chen Yajun,0.037783431839265094,0.041790095109119574,-0.1496291411523271,-0.15234584105427715,-0.0682948256327712,-0.03679120062895999,0.0374747499071693,NO,NA
Pseuduvaria trimera,Annonaceae,T,E,S,Mengla_Bubeng,TRF,Chen Yajun,0.017404015967736428,0.023543220762964678,-0.10958921657558829,-0.05257663049317312,-0.04640217509530727,-0.040084558168457775,0.08495276646181835,NO,NA
Uncaria macrophylla,Rubiaceae,L,D,S,Mengla_Bubeng,TRF,Chen Yajun,0.03144734100373498,0.02377866355789603,-0.06349368667489999,-0.05232985633584037,-0.06087818802674309,-0.07269756856170671,0.08844319334259097,NO,NA
