species,family,growth_form,leaf_habit,leaf_type,location,biomes,data_contributor,n,lma_disc_cv,lma_leaf_cv
Acer campbellii,Sapindaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,6,0.04981988664804244,0.023364284028927547
Actinidia callosa,Actinidiaceae,liana,deciduous,single,Ailao_understory,STF,Chen Yajun,6,0.032750588071603706,0.035390196808857785
Betula alnoides,Betulaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,6,0.051980867514894065,0.03806118862635678
Camellia forrestii,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.012148977431082812,0.007624576544748948
Castanopsis wattii,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.02131448548699052,0.032677719638395504
Cerasus cerasoides,Rosaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,6,0.07761299428078317,0.05030869339503912
Clethra delavayi,Clethraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,6,0.010645857507586634,0.03170762276352386
Cyclobalanopsis stewardiana,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.03208834389070027,0.02398435762808098
Eriobotrya bengalensis,Rosaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.05751669783078432,0.014916315422579532
Eurya obliquifolia,Pentaphylacaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.03118799500012578,0.019544400497511376
Hartia sinensis,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.031956749467126365,0.029409394224372297
Ilex corallina,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.01663565851912686,0.011279330740598824
Ilex gintungensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.04583320981181183,0.04312654137250091
Ilex polyneura,Aquifoliaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,6,0.03345223439070375,0.019712656926266416
Ilex szechwanensis,Aquifoliaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.02654904633032258,0.013419261295013422
Illicium burmanicum,Schisandraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.01853071943839561,0.047402886930634276
Laurocerasus undulata,Rosaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.06590408911855707,0.03465300999731674
Lithocarpus hancei,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.034818493788988485,0.016653710623813003
Lithocarpus pachyphyllus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.016282240928067113,0.01320341379483978
Lithocarpus xylocarpus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.022690841683526787,0.032001993893027
Litsea cubeba,Lauraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,6,0.03862344276118766,0.032016662146974614
Litsea elongata,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.030996463880156522,0.022326861399724025
Lyonia ovalifolia,Ericaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,6,0.091293459011713,0.03816840814049074
Machilus gamblei,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,6,0.040332549392863036,0.022801742868262465
