id,species,family,growth_form,leaf_habit,leaf_type,location,biomes,data_contributor,lma_disc,lma_leaf,ld_disc,ld_leaf,lt,lt_disc,la,dry_mass_disc2,dry_mass_disc
103-1,Lithocarpus pachyphyllus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,128.79109451132075,123.9037524,0.356260453,0.485262738,0.255333333,0.341,76.511,0.003816509434018805,0.011449528302056415
103-2,Lithocarpus pachyphyllus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,116.8659931951651,141.3979112,0.322957677,0.473959479,0.298333333,0.341333333,60.991,0.0034631289316833925,0.010389386795050177
103-3,Lithocarpus pachyphyllus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,128.79109451132075,134.8562518,0.34709947,0.453044519,0.297666667,0.35,60.279,0.003816509434018805,0.011449528302056415
103-4,Lithocarpus pachyphyllus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,139.52368568525944,148.2481581,0.373534198,0.48028561,0.308666667,0.352333333,59.994,0.004134551885806521,0.012403655657419565
103-5,Lithocarpus pachyphyllus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,138.33117554304246,143.7296986,0.384152177,0.470730454,0.305333333,0.339666667,64.343,0.004099213835258826,0.012297641505776476
103-6,Lithocarpus pachyphyllus,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,144.29372625412736,138.085315,0.393375684,0.460796379,0.299666667,0.346,81.58,0.004275904087997309,0.012827712263991925
104-1,Ternstroemia gymnanthera,Pentaphylacaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,153.83380728584905,165.8700022,0.288291778,0.341530547,0.485666667,0.503333333,22.385,0.0045586084892373264,0.01367582546771198
104-2,Ternstroemia gymnanthera,Pentaphylacaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,146.6787465385613,143.0723579,0.267099817,0.292581509,0.489,0.518,21.905,0.004346580189092701,0.013039740567278102
104-3,Ternstroemia gymnanthera,Pentaphylacaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,134.75364522240568,163.4277403,0.28649687,0.32729187,0.499333333,0.443666667,24.751,0.003993199686757288,0.011979599060271864
104-4,Ternstroemia gymnanthera,Pentaphylacaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,94.20830060965802,148.3722676,0.199246395,0.301978835,0.491333333,0.446,21.318,0.0027917059747328663,0.0083751179241986
104-5,Ternstroemia gymnanthera,Pentaphylacaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,102.55587155216982,181.5100457,0.205388339,0.323739677,0.560666667,0.471,20.357,0.0030390723269959658,0.009117216980987898
104-6,Ternstroemia gymnanthera,Pentaphylacaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,149.0637668229953,138.1210675,0.276604769,0.284004937,0.486333333,0.508333333,23.045,0.0044172562901880945,0.013251768870564283
105-1,Lyonia ovalifolia,Ericaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,40.54534457034199,70.50769712,0.216482374,0.297500832,0.237,0.176666667,57.554,0.0012014937107678008,0.0036044811323034027
105-2,Lyonia ovalifolia,Ericaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,67.97307766110849,65.38722399,0.315329436,0.304126623,0.215,0.203333333,39.809,0.0020142688680241817,0.006042806604072545
105-3,Lyonia ovalifolia,Ericaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,48.892915512853776,80.35281821,0.227562015,0.355019815,0.226333333,0.202666667,39.227,0.0014488600630309003,0.004346580189092701
105-4,Lyonia ovalifolia,Ericaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,48.892915512853776,89.97779572,0.218574574,0.395796755,0.227333333,0.211,39.632,0.0014488600630309003,0.004346580189092701
105-5,Lyonia ovalifolia,Ericaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,79.89817899846697,98.06626809,0.288388696,0.399726636,0.245333333,0.261333333,45.663,0.002367649370987905,0.007102948112963715
105-6,Lyonia ovalifolia,Ericaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,106.13340191521227,92.79595403,0.374485608,0.450465796,0.206,0.267333333,70.391,0.003145086476754124,0.009435259430262372
106-1,Litsea cubeba,Lauraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,66.7805675188915,58.96629929,0.325821341,0.297309072,0.198333333,0.193333333,25.133,0.0019789308174764848,0.005936792452429455
106-2,Litsea cubeba,Lauraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,52.470445907700466,65.85293828,0.249548638,0.302540298,0.217666667,0.198333333,30.477,0.001554874213731524,0.004664622641194572
106-3,Litsea cubeba,Lauraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,56.04797631314858,53.50182579,0.287328214,0.283078443,0.189,0.184,24.373,0.001660888364746303,0.004982665094238909
106-4,Litsea cubeba,Lauraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,58.43299658698113,60.77500989,0.26886883,0.299876694,0.202666667,0.205,25.29,0.0017315644655275409,0.005194693396582623
106-5,Litsea cubeba,Lauraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,73.93562832978775,61.94492792,0.332629328,0.308183721,0.201,0.209666667,22.407,0.0021909591195060437,0.0065728773585181305
106-6,Litsea cubeba,Lauraceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,76.32064859301889,78.14675578,0.328726033,0.368616773,0.212,0.219,28.728,0.002261635219973126,0.006784905659919379
107-1,Viburnum cylindricum,Adoxaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,102.55587155216982,124.137217,0.329788322,0.328695191,0.377666667,0.293333333,57.952,0.0030390723269959658,0.009117216980987898
107-2,Viburnum cylindricum,Adoxaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,76.32064859301889,123.150002,0.242666296,0.338014644,0.364333333,0.296666667,50.946,0.002261635219973126,0.006784905659919379
107-3,Viburnum cylindricum,Adoxaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,89.43826007259436,111.8617498,0.276001487,0.347396738,0.322,0.305666667,53.584,0.002650353773484546,0.007951061320453638
107-4,Viburnum cylindricum,Adoxaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,90.63077021481132,114.7468819,0.270535803,0.338486377,0.339,0.316,61.335,0.002685691824032242,0.008057075472096727
107-5,Viburnum cylindricum,Adoxaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,95.400810751875,117.0014852,0.236604955,0.327124376,0.357666667,0.380333333,63.965,0.0028270440252805627,0.008481132075841688
107-6,Viburnum cylindricum,Adoxaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,101.36336142055426,123.6437043,0.274224804,0.340616265,0.363,0.348666667,55.482,0.0030037342767624247,0.009011202830287274
108-1,Styrax perkinsiae,Styracaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,65.58805738727594,83.61417251,0.337457818,0.288989075,0.289333333,0.183333333,32.937,0.0019435927672429437,0.005830778301728831
108-2,Styrax perkinsiae,Styracaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,64.39554725566038,86.81353655,0.308859698,0.30108741,0.288333333,0.196666667,28.279,0.0019082547170094024,0.0057247641510282075
108-3,Styrax perkinsiae,Styracaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,69.16558779272405,73.20377898,0.412923068,0.422329494,0.173333333,0.158,53.877,0.0020496069182577227,0.006148820754773169
108-4,Styrax perkinsiae,Styracaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,63.20303712404482,68.61283739,0.40464399,0.437954281,0.156666667,0.147333333,43.607,0.0018729166667758616,0.005618750000327585
108-5,Styrax perkinsiae,Styracaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,91.8232803464269,98.80769011,0.438183001,0.483561289,0.204333333,0.197666667,35.058,0.002721029874265784,0.008163089622797352
108-6,Styrax perkinsiae,Styracaceae,tree,deciduous,single,Ailao_understory,STF,Chen Yajun,70.35809792433963,90.68688228,0.369387964,0.47729938,0.19,0.179666667,28.229,0.0020849449684912646,0.006254834905473794
109-1,Symplocos ramosissima,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,79.89817899846697,68.76876877,0.345713667,0.336551886,0.204333333,0.218,23.31,0.002367649370987905,0.007102948112963715
109-2,Symplocos ramosissima,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,102.55587155216982,74.90500445,0.391123616,0.380228449,0.197,0.247333333,24.738,0.0030390723269959658,0.009117216980987898
109-3,Symplocos ramosissima,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,109.71093234186321,83.22719312,0.416726433,0.373774819,0.222666667,0.248333333,25.124,0.003251100628397213,0.00975330188519164
109-4,Symplocos ramosissima,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,84.66821953553067,103.574855,0.28557217,0.37123604,0.279,0.279666667,23.973,0.0025090015722362253,0.007527004716708676
109-5,Symplocos ramosissima,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,75.12813846140331,80.32793849,0.352567869,0.384344203,0.209,0.201,23.541,0.0022262971697395847,0.006678891509218754
109-6,Symplocos ramosissima,Symplocaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,112.09595262629716,76.44791028,0.393073542,0.355571676,0.215,0.269,22.826,0.003321776729492606,0.009965330188477818
110-1,Rubus paniculatus,Rosaceae,liana,deciduous,single,Ailao_understory,STF,Chen Yajun,93.01579047804246,95.88406871,0.269966254,0.281735755,0.340333333,0.325,64.797,0.002756367924499325,0.008269103773497976
110-2,Rubus paniculatus,Rosaceae,liana,deciduous,single,Ailao_understory,STF,Chen Yajun,79.89817899846697,87.72947981,0.263823498,0.312947015,0.280333333,0.285666667,51.693,0.002367649370987905,0.007102948112963715
110-3,Rubus paniculatus,Rosaceae,liana,deciduous,single,Ailao_understory,STF,Chen Yajun,88.2457499409788,83.12701299,0.263973346,0.25551336,0.325333333,0.315333333,45.641,0.0026150157232510047,0.007845047169753015
110-4,Rubus paniculatus,Rosaceae,liana,deciduous,single,Ailao_understory,STF,Chen Yajun,70.35809792433963,89.96424843,0.239015741,0.27234384,0.330333333,0.277666667,63.214,0.0020849449684912646,0.006254834905473794
110-5,Rubus paniculatus,Rosaceae,liana,deciduous,single,Ailao_understory,STF,Chen Yajun,66.7805675188915,91.67087561,0.235925565,0.277510219,0.330333333,0.267,43.558,0.0019789308174764848,0.005936792452429455
110-6,Rubus paniculatus,Rosaceae,liana,deciduous,single,Ailao_understory,STF,Chen Yajun,75.12813846140331,62.90169978,0.212386039,0.236176595,0.266333333,0.333666667,61.302,0.0022262971697395847,0.006678891509218754
112-1,Rhododendron leptothrium,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,114.48097291073114,82.34845597,0.445611424,0.419431864,0.196333333,0.242333333,7.869,0.0033924528305879996,0.010177358491763999
112-2,Rhododendron leptothrium,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,76.32064859301889,102.0297406,0.356980171,0.432940908,0.235666667,0.201666667,9.213,0.002261635219973126,0.006784905659919379
112-3,Rhododendron leptothrium,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,73.93562832978775,103.5374431,0.372948034,0.437482154,0.236666667,0.187,9.668,0.0021909591195060437,0.0065728773585181305
112-4,Rhododendron leptothrium,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,79.89817899846697,81.22809138,0.360600858,0.446308194,0.182,0.209,8.273,0.002367649370987905,0.007102948112963715
112-5,Rhododendron leptothrium,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,78.70566886685141,79.67535437,0.42504229,0.404443423,0.197,0.174666667,8.748,0.0023323113207543637,0.006996933962263092
112-6,Rhododendron leptothrium,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,91.8232803464269,79.50553025,0.409846246,0.419923575,0.189333333,0.211333333,7.685,0.002721029874265784,0.008163089622797352
113-1,Camellia forrestii,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,122.82854380023586,134.5589505,0.386201725,0.412335905,0.326333333,0.3,11.586,0.003639819181280323,0.01091945754384097
113-2,Camellia forrestii,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,124.02105394245282,128.1265952,0.370597815,0.409350144,0.313,0.315666667,9.795,0.0036751572318280187,0.011025471695484056
113-3,Camellia forrestii,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,133.56113508018868,128.7534122,0.390044124,0.418030559,0.308,0.323,8.792,0.003957861636209591,0.011873584908628774
113-4,Camellia forrestii,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,112.09595262629716,122.895836,0.348200163,0.396012361,0.310333333,0.303666667,7.901,0.003321776729492606,0.009965330188477818
113-5,Camellia forrestii,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,124.02105394245282,127.048792,0.368264565,0.395790629,0.321,0.317666667,10.555,0.0036751572318280187,0.011025471695484056
113-6,Camellia forrestii,Theaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,125.21356408466983,134.8294752,0.391958749,0.410648148,0.328333333,0.301333333,11.318,0.003710495282375716,0.011131485847127148
114-1,Illicium burmanicum,Schisandraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,88.2457499409788,61.44145957,0.238054133,0.190811986,0.322,0.349666667,59.634,0.0026150157232510047,0.007845047169753015
114-2,Illicium burmanicum,Schisandraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,103.74838168378537,114.7107324,0.272345363,0.276856152,0.414333333,0.359333333,58.216,0.0030744103772295064,0.00922323113168852
114-3,Illicium burmanicum,Schisandraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,100.17085128893869,85.58880605,0.266915788,0.273738186,0.312666667,0.354,39.164,0.0029683962265288836,0.00890518867958665
114-4,Illicium burmanicum,Schisandraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,106.13340191521227,87.89402918,0.283337224,0.243698787,0.360666667,0.353333333,60.243,0.003145086476754124,0.009435259430262372
114-5,Illicium burmanicum,Schisandraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,88.2457499409788,88.72045477,0.235140099,0.250151658,0.354666667,0.354,50.135,0.0026150157232510047,0.007845047169753015
114-6,Illicium burmanicum,Schisandraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,93.01579047804246,95.80717035,0.25456199,0.271408415,0.353,0.344666667,44.433,0.002756367924499325,0.008269103773497976
115-1,Machilus gamblei,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,56.04797631314858,93.29289483,0.212322857,0.39143872,0.238333333,0.249,31.653,0.001660888364746303,0.004982665094238909
115-2,Machilus gamblei,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,76.32064859301889,96.53193308,0.302907438,0.389765544,0.247666667,0.237666667,32.756,0.002261635219973126,0.006784905659919379
115-3,Machilus gamblei,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,62.01052698182784,95.46799564,0.220727126,0.39944768,0.239,0.265,38.526,0.001837578616228165,0.005512735848684495
115-4,Machilus gamblei,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,52.470445907700466,111.979745,0.213029325,0.403773119,0.277333333,0.232333333,22.513,0.001554874213731524,0.004664622641194572
115-5,Machilus gamblei,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,53.662956049917454,116.5158371,0.206606827,0.387955062,0.300333333,0.245,22.1,0.0015902122642792206,0.004770636792837662
115-6,Machilus gamblei,Lauraceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,72.74311819817218,92.12220029,0.278174688,0.390348306,0.236,0.246666667,23.306,0.002155621069272502,0.006466863207817507
116-1,Rhododendron delavayi,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,103.74838168378537,130.8730036,0.21619168,0.311849889,0.419666667,0.452666667,38.694,0.0030744103772295064,0.00922323113168852
116-2,Rhododendron delavayi,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,151.44878710742927,132.4434008,0.329924117,0.311143463,0.425666667,0.433,39.179,0.004487932391283487,0.013463797173850463
116-3,Rhododendron delavayi,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,126.40607422688679,135.1984839,0.262632369,0.33941042,0.398333333,0.454,40.104,0.003745833332923412,0.011237499998770236
116-4,Rhododendron delavayi,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,144.29372625412736,131.897215,0.258596554,0.305082224,0.432333333,0.526333333,32.495,0.004275904087997309,0.012827712263991925
116-5,Rhododendron delavayi,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,108.51842219964625,179.8611111,0.256118944,0.37601626,0.478333333,0.399666667,40.32,0.0032157625778495174,0.009647287733548553
116-6,Rhododendron delavayi,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,106.13340191521227,158.9554297,0.248212775,0.331848496,0.479,0.403333333,47.139,0.003145086476754124,0.009435259430262372
117-1,Vaccinium duclouxii,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,141.9087059696934,173.2075809,0.346185175,0.384620831,0.450333333,0.386666667,22.372,0.004205227986901914,0.012615683960705743
117-2,Vaccinium duclouxii,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,121.63603365801887,168.1584195,0.337457818,0.377884089,0.445,0.34,21.563,0.003604481130732626,0.010813443392197879
117-3,Vaccinium duclouxii,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,170.52894917087266,233.8802866,0.401802398,0.478609045,0.488666667,0.400333333,12.981,0.005053341193763526,0.01516002358129058
117-4,Vaccinium duclouxii,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,180.06903030860852,234.1010207,0.420777295,0.493190353,0.474666667,0.403666667,15.284,0.0053360455981451,0.016008136794435298
117-5,Vaccinium duclouxii,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,248.0421079909198,156.9260772,0.431680357,0.364097627,0.431,0.542,16.409,0.00735031446679759,0.02205094340039277
117-6,Vaccinium duclouxii,Ericaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,258.7746991648585,156.2110252,0.478304026,0.34765065,0.449333333,0.510333333,16.036,0.007668356918585306,0.02300507075575592
118-1,Lithocarpus hancei,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,98.9783411467217,116.9115501,0.329905758,0.409736741,0.285333333,0.283,20.554,0.0029330581759811868,0.00879917452794356
118-2,Lithocarpus hancei,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,90.63077021481132,107.901165,0.323823158,0.403117677,0.267666667,0.264,21.288,0.002685691824032242,0.008057075472096727
118-3,Lithocarpus hancei,Fagaceae,tree,evergreen,single,Ailao_understory,STF,Chen Yajun,110.9034424840802,105.4199933,0.335653231,0.395324975,0.266666667,0.311666667,17.786,0.00328643867894491,0.00985931603683473
